eta,h,absolute_error,relative_error
5.0,0.075,0.005221547496851661,0.0005024436421489539
5.0,0.05,0.0026498235116695613,0.0002549793862945701
5.0,0.025,0.0009179742417194127,8.833211259430758e-05
5.0,0.02,0.0007095379639601731,6.827532241544415e-05
5.0,0.015,0.000538981511479783,5.1863520123514016e-05
5.0,0.01,0.00041997606387067174,4.04122155881553e-05
5.0,0.0095,0.0004094810114832899,3.940232870131961e-05
5.0,0.009,0.00040063281212358474,3.855091032095807e-05
5.0,0.0085,0.00039215509560735053,3.773514166883121e-05
5.0,0.008,0.0003846333356381945,3.701135997833588e-05
5.0,0.0075,0.00037711034229305317,3.628745960618103e-05
5.0,0.005,0.0003471080824862367,3.3400490810220596e-05
1.0,0.075,0.004921760008107882,0.00047359657759463673
1.0,0.05,0.002345119731700541,0.00022565925139653503
1.0,0.025,0.0006096357179430513,5.8662224310338575e-05
1.0,0.02,0.00040073446672220724,3.856069203927124e-05
1.0,0.015,0.00022983198959655921,2.2115593510326786e-05
1.0,0.01,0.00011058746850474511,1.0641284118368974e-05
1.0,0.0095,0.00010007179416650518,9.629412883386764e-06
1.0,0.009,9.12043852484447e-05,8.776146062410646e-06
1.0,0.0085,8.271459863735538e-05,7.95921596486483e-06
1.0,0.008,7.517756255650773e-05,7.233964329836611e-06
1.0,0.0075,6.763507807645734e-05,6.508188422350667e-06
1.0,0.005,3.757283544244484e-05,3.615447776152173e-06
0.05,0.075,0.004908934347607927,0.0004723624278376061
0.05,0.05,0.0023320819360181833,0.00022440468892206028
0.05,0.025,0.000596439836893581,5.7392450064320903e-05
0.05,0.02,0.0003875176316947477,3.728890149578147e-05
0.05,0.015,0.000216600139921782,2.084235818172524e-05
0.05,0.01,9.734526144418214e-05,9.36705214985551e-06
0.05,0.0095,8.682881590363813e-05,8.355106705896987e-06
0.05,0.009,7.796044485203193e-05,7.501747303577267e-06
0.05,0.0085,6.94708880304405e-05,6.684839317536195e-06
0.05,0.008,6.193327198107459e-05,5.959531875011287e-06
0.05,0.0075,5.438913287072899e-05,5.233596750650951e-06
0.05,0.005,2.4324387657460318e-05,2.340615293651254e-06
0.0005,0.075,0.004908901991016595,0.00047235931432315355
0.0005,0.05,0.0023320490427058164,0.00022440152376160204
0.0005,0.025,0.0005964065434503662,5.7389246401253854e-05
0.0005,0.02,0.0003874842852400695,3.728569273168398e-05
0.0005,0.015,0.0002165667554620225,2.083914576058709e-05
0.0005,0.01,9.731185090649127e-05,9.363837219367243e-06
0.0005,0.0095,8.679540324551974e-05,8.35189157137049e-06
0.0005,0.009,7.792702937408026e-05,7.4985318977121856e-06
0.0005,0.0085,6.943747403272686e-05,6.681624054107083e-06
0.0005,0.008,6.189985655530951e-05,5.956316474167861e-06
0.0005,0.0075,5.435571261028968e-05,5.2303808845907805e-06
0.0005,0.005,2.429096159019851e-05,2.3373988688293282e-06
5e-06,0.075,0.004908901987761718,0.0004723593140099528
5e-06,0.05,0.0023320490394162937,0.00022440152344506756
5e-06,0.025,0.0005964065402076074,5.738924608921925e-05
5e-06,0.02,0.00038748428191207247,3.728569241144731e-05
5e-06,0.015,0.0002165667521640399,2.0839145443238567e-05
5e-06,0.01,9.731184761543264e-05,9.363836902684979e-06
5e-06,0.0095,8.679539997269242e-05,8.351891256442534e-06
5e-06,0.009,7.79270262686569e-05,7.498531598892683e-06
5e-06,0.0085,6.943747081604334e-05,6.681623744581568e-06
5e-06,0.008,6.189985318675071e-05,5.95631615002814e-06
5e-06,0.0075,5.435570944829029e-05,5.230380580327247e-06
5e-06,0.005,2.429095830144589e-05,2.33739855236896e-06
