h,L2_error_x,L2_error_y,H1_error_x,H1_error_y
0.075,0.008575990052235295,0.008606813957692095,0.0666016394585662,0.06801552730706092
0.05,0.004117152624434742,0.004023612450547675,0.053483881594907134,0.052248614210126235
0.025,0.0011956413090583556,0.0011707711870424593,0.03511620208280104,0.03369631197522995
0.02,0.0007315916095811827,0.0007614512193065157,0.02715068195811094,0.029629999733209383
0.015,0.0005000709893005155,0.0005286689070824799,0.02830051791308817,0.030821441596038293
0.01,0.0002851869884453518,0.0002841439676914238,0.023405977583796554,0.02583041926570655
0.0095,0.00020875979382472228,0.00021292556753824298,0.018781590705908693,0.01954135355131864
0.009,0.0001857975043343071,0.00019220918474422758,0.017102886053843757,0.018382263826090026
0.0085,0.0002211976467644408,0.00022715649901250653,0.02334658432259543,0.024256152947636226
0.008,0.0001640750346771132,0.00018537344413576936,0.01777886838217417,0.02116707224672537
0.0075,0.0001527976632811164,0.0001535833045354878,0.017527561280188318,0.018218998097331643
0.005,7.367154344927048e-05,7.438721973630691e-05,0.013432225539562932,0.013679415607805225
