h,L2_error,H1_error
0.075,0.029394050502485627,0.03132697436092809
0.05,0.02643928109643183,0.01704799909870962
0.025,0.003926256083598893,0.004885992407576759
0.02,0.0021314060238768234,0.0031639952210245877
0.015,0.0011979778245538172,0.0021408119692260764
0.01,0.0005495024941932143,0.0009721934687099564
0.0095,0.0004879556323516174,0.0010158052483399441
0.009,0.00042811234366881793,0.0009029118658810675
0.0085,0.0003873625248431395,0.0007265646016081635
0.008,0.0003447173476350226,0.0006617277688508993
0.0075,0.00029911979721012764,0.0007094464163769212
0.005,0.00013416741533596902,0.0003909580600657025
