h,L2_error,H1_error
0.075,0.024447986414229253,0.029431966190003853
0.05,0.013035608211465958,0.015207989669339058
0.025,0.003023906758577959,0.0038851313762177948
0.02,0.002002728893511261,0.0024626695807355432
0.015,0.0010559872813061812,0.0014848553697867192
0.01,0.0004780211849837925,0.0006802438320044304
0.0095,0.000425233828530958,0.0006804685267414574
0.009,0.0003803170145799133,0.0005797119205923174
0.0085,0.00034836228551077015,0.0005119678831972217
0.008,0.000308061277907701,0.0004643290101814724
0.0075,0.0002663159308924253,0.00042963224931661905
0.005,0.00011953202855110398,0.00022777342300011168
